x,y
12647092.1846,2556854.56269
12647092.2805,2556854.90965
12647092.3754,2556855.25849
12647092.4711,2556855.60766
12647092.5693,2556855.95383
12647092.668,2556856.30572
12647092.7671,2556856.65118
12647092.8667,2556856.99795
12647092.9661,2556857.34323
12647093.0675,2556857.68837
12647093.1716,2556858.03805
12647093.277,2556858.38765
12647093.3785,2556858.73476
12647093.4824,2556859.08752
12647093.585,2556859.43186
12647093.6851,2556859.78118
12647093.7874,2556860.13613
12647093.8902,2556860.49572
12647093.9946,2556860.85818
12647094.1052,2556861.22662
12647094.2059,2556861.59084
12647094.3129,2556861.96209
12647094.4154,2556862.33624
12647094.5199,2556862.71311
12647094.6217,2556863.08979
12647094.7248,2556863.47153
12647094.8233,2556863.84912
12647094.9245,2556864.2316
12647095.0269,2556864.62287
12647095.1293,2556865.01268
12647095.2258,2556865.40023
12647095.326,2556865.79433
12647095.4262,2556866.18902
12647095.5269,2556866.58444
12647095.6225,2556866.97631
12647095.7221,2556867.37683
12647095.8141,2556867.77312
12647095.908,2556868.17277
12647095.9994,2556868.57552
12647096.09,2556868.98218
12647096.1751,2556869.38019
12647096.2622,2556869.78681
12647096.3518,2556870.19147
12647096.5286,2556871.00344
12647096.6187,2556871.41203
12647096.7018,2556871.81929
12647096.7851,2556872.22737
12647096.8645,2556872.63684
12647096.9429,2556873.04571
12647097.0177,2556873.4555
12647097.0934,2556873.86792
12647097.1706,2556874.27879
12647097.2455,2556874.68952
12647097.3236,2556875.1015
12647097.4695,2556875.92672
12647097.5397,2556876.34036
12647097.6084,2556876.75683
12647097.6696,2556877.17767
12647097.7351,2556877.59633
12647097.7973,2556878.01975
12647097.7973,2556878.01975
12647097.9196,2556878.85339
12647097.9793,2556879.2709
12647098.0361,2556879.69071
12647098.0918,2556880.11348
12647098.1457,2556880.53805
12647098.198,2556880.95533
12647098.249,2556881.38033
12647098.3031,2556881.80448
12647098.356,2556882.23251
12647098.4083,2556882.65187
12647098.4606,2556883.07737
12647098.51,2556883.49828
12647098.5551,2556883.92153
12647098.598,2556884.34627
12647098.6377,2556884.77135
12647098.6823,2556885.19598
12647098.771,2556886.04414
12647098.8181,2556886.46616
12647098.8561,2556886.88823
12647098.8995,2556887.31093
12647098.9315,2556887.7395
12647098.9667,2556888.16187
12647098.9994,2556888.58642
12647099.0315,2556889.01112
12647099.0631,2556889.43823
12647099.0968,2556889.86547
12647099.1515,2556890.71595
12647099.1791,2556891.14334
12647099.2038,2556891.56802
12647099.2305,2556891.99518
12647099.2561,2556892.42122
12647099.2767,2556892.85001
12647099.2962,2556893.27668
12647099.311,2556893.70669
12647099.3225,2556894.13484
12647099.3225,2556894.13484
12647099.3225,2556894.13484
12647099.3715,2556895.40735
12647099.3938,2556895.82214
12647099.4109,2556896.2313
12647099.4323,2556896.63347
12647099.4722,2556897.4235
12647099.495,2556897.81421
12647099.5194,2556898.19573
12647099.5487,2556898.57779
12647099.5807,2556898.9522
12647099.6181,2556899.32616
12647099.6579,2556899.69366
12647099.6977,2556900.0629
12647099.7414,2556900.42732
12647099.7801,2556900.79526
12647099.8225,2556901.15541
12647099.8679,2556901.51444
12647099.912,2556901.87008
12647099.9646,2556902.22609
12647100.0197,2556902.58035
12647100.0755,2556902.93342
12647100.1352,2556903.28494
12647100.1914,2556903.63157
12647100.2473,2556903.97735
12647100.3079,2556904.32184
12647100.3691,2556904.65958
12647100.4362,2556905.00518
12647100.5067,2556905.34974
12647100.5795,2556905.69481
12647100.6542,2556906.03784
12647100.7233,2556906.37584
12647100.7945,2556906.71679
12647100.8693,2556907.06489
12647100.9418,2556907.4139
12647101.0152,2556907.77119
12647101.0931,2556908.13672
12647101.1744,2556908.50429
12647101.2582,2556908.88384
12647101.3411,2556909.2563
12647101.425,2556909.64
12647101.5023,2556910.01811
12647101.5775,2556910.40605
12647101.6518,2556910.79853
12647101.7226,2556911.19779
12647101.8022,2556911.59197
12647101.8804,2556911.99999
12647101.9611,2556912.39993
12647102.0459,2556912.80691
12647102.1205,2556913.20824
12647102.1979,2556913.61732
12647102.3414,2556914.44591
12647102.4117,2556914.85777
12647102.4833,2556915.27749
12647102.5541,2556915.69256
